id;name;monthly_income;risk;created_at;updated_at
1;Analyst paradigms;3305;B;2019-11-25T16:10:49;2019-11-25T05:35:35
2;Lebanon;44778;B;2019-11-25T16:13:35;2019-11-25T16:07:05
3;cross-platform Point Orchestrator;39882;A;2019-11-25T14:13:52;2019-11-25T09:43:59
4;Argentine Peso;85835;C;2019-11-25T09:38:23;2019-11-25T02:30:07
5;turn-key;9617;B;2019-11-25T12:38:54;2019-11-25T09:30:14
6;hacking Forint bandwidth;20907;A;2019-11-25T02:19:00;2019-11-24T22:21:29
7;Borders content-based;99625;B;2019-11-25T00:19:12;2019-11-25T00:44:48
8;pink even-keeled;70035;C;2019-11-25T06:31:16;2019-11-25T01:30:28
9;Marketing;78534;C;2019-11-25T06:00:21;2019-11-24T22:33:44
10;clear-thinking;30536;C;2019-11-25T16:32:50;2019-11-25T17:42:27
